
COORDINACION-CA

"Nombre del computadora:","COORDINACION-CA"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0236&SUBSYS_103C8660&REV_1000"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek High Definition Audio"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","6.0.9054.1"
"Fecha del controlador:","26-Oct-2020"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0236&SUBSYS_103C8660&REV_1000\4&DF756E7&0&0001"

Red


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek PCIe GbE Family Controller"
"Dirección MAC:","BC-E9-2F-E0-1D-FF"
"Velocidad máxima de enlace:","1000 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_852C103C&REV_15"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GbE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.39.212.2020"
"Fecha del controlador:","11-Feb-2020"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_852C103C&REV_15\4&1424839C&0&00E8"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

RealTek Semiconductor RTL8723DE Wireless LAN 802.11n PCI-E NIC

"Tarjeta de red:","RealTek Semiconductor RTL8723DE Wireless LAN 802.11n PCI-E NIC"
"Descripción del proveedor:","Microsoft"
"Dirección MAC:","70-66-55-DF-20-7F"
"Velocidad máxima de enlace:","54 Mbps"
"Tamaño del búfer de transmisión:","Desconocido"
"Tamaño del búfer de recepción:","Desconocido"
"ID de hardware:","PCI\VEN_10EC&DEV_D723&SUBSYS_8319103C&REV_00"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek RTL8723DE 802.11b/g/n PCIe Adapter"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","2024.0.10.220"
"Fecha del controlador:","04-Oct-2020"
"DeviceInstanceId","PCI\VEN_10EC&DEV_D723&SUBSYS_8319103C&REV_00\4&14AC4D7&0&00E9"
"Location Paths","PCIROOT(0)#PCI(1D01)#PCI(0000)"

Puertos


Puertos seriales


USB


Controlador de host eXtensible Intel(R) USB 3.1 - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : Quanta Computer, PID=5321

"Fabricante del dispositivo:","Quanta Computer"
"Nombre del producto:","Quanta Computer, PID=5321"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_0408&PID_5321"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0408&PID_5321\0X0001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Realtek Semiconductor Realtek Bluetooth 4.2 Adapter

"Fabricante del dispositivo:","Realtek Semiconductor"
"Nombre del producto:","Realtek Semiconductor Realtek Bluetooth 4.2 Adapter"
"Número de serie:","-"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Realtek Bluetooth 4.2 Adapter"
"ID de hardware:","USB\VID_0BDA&PID_B009"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek Bluetooth 4.2 Adapter"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","1.8.1027.3000"
"Fecha del controlador:","29-Apr-2020"
"DeviceInstanceId","USB\VID_0BDA&PID_B009\00E04C000001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Batería


Battery #0

"Nombre del dispositivo:","Primary"
"Nombre del Fabricante:","Hewlett-Packard"
"Número de serie:","46686 05/04/2020"
"Identificación única:","46686 05/04/2020Hewlett-PackardPrimary"
"Química:",""
"Capacidad diseñada:","35285 mWh"
"Capacidad cargada completa:","35285 mWh"
"Nivel de desgaste:","0.0 %"
"Estado de energía:","En alimentación de CA"
"Capacidad actual:","35285 mWh (100.0 %)"
"Voltaje de corriente:","13.000 V"
