
VACUNACIONCALER

"Nombre del computadora:","VACUNACIONCALER"
"DeviceInstanceId","PCI\VEN_10EC&DEV_C822&SUBSYS_85F7103C&REV_00\00E04CFFFEC8220100"
"Location Paths","PCIROOT(0)#PCI(1D01)#PCI(0000)"

Puertos


Puertos seriales


USB


Controlador de host eXtensible Intel(R) USB 3.1 - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : Lite-On Technology, PID=009C

"Fabricante del dispositivo:","Lite-On Technology Corp"
"Nombre del producto:","USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04CA&PID_009C"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.3155"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04CA&PID_009C\5&2DEEBF37&0&3"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(3)"

[Port4] : HP Optical Mouse [672662-001]

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","HP USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_094A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.2506"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_094A\5&2DEEBF37&0&4"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(4)"

[Port5] : Realtek Semiconductor Realtek Bluetooth 4.2 Adapter

"Fabricante del dispositivo:","Realtek Semiconductor"
"Nombre del producto:","Realtek Semiconductor Realtek Bluetooth 4.2 Adapter"
"Número de serie:","-"
"Versión USB admitida:","1.00"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Realtek Bluetooth 5 Adapter"
"ID de hardware:","USB\VID_0BDA&PID_B00C"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek Bluetooth 5 Adapter"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","1.9.1038.3008"
"Fecha del controlador:","11-Dec-2021"
"DeviceInstanceId","USB\VID_0BDA&PID_B00C\00E04C000001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Cheng Uei Precision Industry, PID=0607

"Fabricante del dispositivo:","Cheng Uei Precision Industry"
"Nombre del producto:","Cheng Uei Precision Industry, PID=0607"
"Número de serie:","-"
"Versión USB admitida:","2.01"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_05C8&PID_0607"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.3155"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_05C8&PID_0607\0001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected

